epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5777.97,1.41604,1.20365,1.357,0.74292,0.65937,0.72492,0.41266,1.2673,1.32407,1.19443,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5955.19,1.41116,1.19818,1.35327,0.73857,0.6676,0.73193,0.41604,1.26499,1.35368,1.18568,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6132.15,1.40944,1.18047,1.34343,0.74424,0.67551,0.74144,0.41885,1.26691,1.19516,1.18857,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6309.72,1.38946,1.1738,1.33611,0.74065,0.67158,0.73425,0.41975,1.26846,1.13393,1.19036,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6487.36,1.38723,1.18102,1.32726,0.75191,0.67089,0.74334,0.4238,1.26254,1.18151,1.18305,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6664.32,1.38003,1.14716,1.32878,0.73771,0.66978,0.73748,0.42111,1.25213,1.1779,1.18008,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6840.61,1.40129,1.16946,1.33295,0.7432,0.67369,0.74226,0.42943,1.23301,1.125,1.16934,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7015.18,1.36907,1.1502,1.32098,0.73939,0.67716,0.74461,0.42921,1.24486,1.13576,1.17152,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7189.53,1.38601,1.15363,1.319,0.75729,0.66873,0.74654,0.43268,1.24674,1.16085,1.1703,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7365.9,1.37053,1.14593,1.32206,0.74939,0.68061,0.74948,0.43162,1.2417,1.15825,1.16904,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7543.64,1.37658,1.12582,1.31334,0.74206,0.68758,0.75133,0.43557,1.2359,1.10729,1.16415,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7720.92,1.37093,1.13129,1.31964,0.76109,0.68516,0.75914,0.44217,1.23638,1.06331,1.16726,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7898.4,1.36795,1.11884,1.31328,0.75899,0.6931,0.75964,0.44158,1.23371,1.05702,1.16315,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,8075.9,1.35811,1.10882,1.3077,0.77033,0.69537,0.76019,0.44137,1.23663,1.03829,1.16438,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,8254.57,1.34916,1.10456,1.30501,0.76808,0.69353,0.76593,0.44342,1.237,1.03693,1.16408,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8432.25,1.3523,1.0988,1.30642,0.75867,0.70159,0.76613,0.4459,1.22547,1.03662,1.15977,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8609.13,1.34003,1.07361,1.29709,0.76539,0.69806,0.76798,0.44694,1.2275,1.08974,1.15976,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8786.96,1.34574,1.0803,1.2936,0.76369,0.69551,0.76705,0.4479,1.22835,1.08691,1.15808,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8966.31,1.33876,1.05992,1.29302,0.76137,0.70298,0.76884,0.4476,1.22924,1.07695,1.16028,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,9144.16,1.32019,1.06012,1.28617,0.77175,0.69639,0.77008,0.44928,1.22737,1.06298,1.15878,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9322.43,1.32933,1.05548,1.29042,0.76884,0.69933,0.77022,0.44895,1.22818,1.03193,1.15989,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9501.37,1.31809,1.06374,1.28477,0.7774,0.69285,0.76838,0.44893,1.23071,1.0157,1.16204,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9679.23,1.32745,1.05042,1.28049,0.77887,0.6934,0.76972,0.45091,1.23054,1.00287,1.16436,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9853.94,1.33172,1.0452,1.28317,0.77674,0.69842,0.77059,0.45208,1.23325,1.01223,1.16667,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10030,1.32946,1.04939,1.28067,0.77965,0.70288,0.77181,0.45171,1.23748,0.99882,1.16937,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10206.6,1.322,1.03478,1.27656,0.78009,0.70127,0.77034,0.45027,1.23874,1.0095,1.16836,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
